gene_name	accession	n
F8	P00451	468
SCN1A	P35498	409
FBN1	P35555	393
ABCA4	P78363	226
PAH	P00439	226
MYH7	P12883	199
GJB1	P08034	189
SCN5A	Q14524	189
GBA1	P04062	188
ATP7B	P35670	180
GLA	P06280	180
AR	P10275	168
RYR1	P21817	158
NPC1	O15118	150
COL1A1	P02452	148
CFTR	P13569	147
COL4A5	P29400	144
F9	P00740	141
CPS1	P31327	140
GALT	P07902	134
RET	P07949	134
VHL	P40337	133
LMNA	P02545	132
ABCD1	P33897	131
GAA	P10253	131
KCNQ1	P51787	131
GALNS	P34059	126
IDS	P22304	126
MMUT	P22033	125
SLC12A3	P55017	119
KCNH2	Q12809	117
ALPL	P05186	113
OTC	P00480	111
SMPD1	P17405	111
TYR	P14679	111
BEST1	O76090	110
BTK	Q06187	110
NOTCH3	Q9UM47	110
CASR	P41180	109
F7	P08709	108
GCK	P35557	107
LDLR	P01130	105
CBS	P35520	103
COL3A1	P02461	103
PKLR	P30613	101
GLB1	P16278	99
PSEN1	P49768	98
ABCC8	Q09428	97
ARSA	P15289	97
MEN1	O00255	96
PKHD1	P08F94	93
PKD1	P98161	92
HMBS	P08397	90
MPZ	P25189	90
ELANE	P08246	89
PROS1	P07225	89
ABCC6	O95255	86
ASS1	P00966	86
MLH1	P40692	85
NF1	P21359	85
SERPINC1	P01008	85
ACTA1	P68133	84
AVPR2	P30518	84
COL1A2	P08123	84
TP53	P04637	83
ACVRL1	P37023	82
CRB1	P82279	81
SHH	Q15465	81
SCN2A	Q99250	79
SOD1	P00441	79
COL7A1	Q02388	77
SPAST	Q9UBP0	77
TTR	P02766	75
FGFR1	P11362	74
PLP1	P60201	74
POLG	P54098	73
SLC22A5	O76082	73
SLC26A4	O43511	73
ABCB4	P21439	72
FGFR2	P21802	72
EDA	Q92838	71
LPL	P06858	71
MSH2	P43246	71
USH2A	O75445	70
RHO	P08100	69
HGD	Q93099	68
NAGLU	P54802	68
L1CAM	P32004	67
CYP21A2	P08686	66
PMM2	O15305	66
RS1	O15537	66
CYBB	P04839	65
SCN4A	P35499	65
TGM1	P22735	65
COL2A1	P02458	64
HPRT1	P00492	64
INSR	P06213	64
MYBPC3	Q14896	64
ASL	P04424	63
GFAP	P14136	62
NPHS1	O60500	62
COMP	P49747	61
NDP	Q00604	60
OPA1	O60313	60
PTPN11	Q06124	60
CNGA3	Q16281	59
CDH23	Q9H251	58
F11	P03951	58
G6PD	P11413	58
GCDH	Q92947	58
MYOC	Q99972	58
CHST6	Q9GZX3	57
IDUA	P35475	57
MTM1	Q13496	57
PPOX	P50336	56
SGSH	P51688	56
DYSF	O75923	55
LRP5	O75197	55
NKX2-5	P52952	55
UGT1A1	P22309	55
CLCN1	P35523	54
G6PC1	P35575	54
JAG1	P78504	54
KRT5	P13647	54
DHCR7	Q9UBM7	53
MTHFR	P42898	53
TSC2	P49815	53
ATP7A	Q04656	52
CAPN3	P20807	52
MCCC2	Q9HCC0	52
NPHS2	Q9NP85	51
CHD7	Q9P2D1	50
DCX	O43602	50
GJA1	P17302	50
MEFV	O15553	50
MYO7A	Q13402	50
HEXA	P06865	49
SLC3A1	Q07837	49
PIK3CA	P42336	48
RYR2	Q92736	48
SLC2A1	P11166	48
BRCA2	P51587	47
CYP11B1	P15538	47
MECP2	P51608	47
RUNX2	Q13950	47
SMARCA2	P51531	47
TMEM67	Q5HYA8	47
CACNA1A	O00555	46
GJB2	P29033	46
KCNJ11	Q14654	46
WT1	P19544	46
IRF6	O14896	45
KRT14	P02533	45
SMCHD1	A6NHR9	45
THAP1	Q9NVV9	45
GALC	P54803	44
PRPH2	P23942	44
RPE65	Q16518	44
TRPV4	Q9HBA0	44
ADAMTS13	Q76LX8	43
VWF	P04275	43
ASPA	P45381	42
ATP1A3	P13637	42
CFH	P08603	42
HNF1A	P20823	42
SLC4A11	Q8NBS3	42
ATM	Q13315	41
ATP2A2	P16615	41
OCRL	Q01968	41
PTEN	P60484	41
AGXT	P21549	40
CYP1B1	Q16678	40
MAN2B1	O00754	40
SERPING1	P05155	40
SLC4A1	P02730	40
AVP	P01185	39
BRAF	P15056	39
OCA2	Q04671	39
TSHR	P16473	39
UROD	P06132	39
WFS1	O76024	39
ACADVL	P49748	38
BCHE	P06276	38
GCH1	P30793	38
MVK	Q03426	38
PAX6	P26367	38
RAG1	P15918	38
SOS1	Q07889	38
TH	P07101	38
TWNK	Q96RR1	38
GNE	Q9Y223	37
KCNQ2	O43526	37
NIPBL	Q6KC79	37
NLRP3	Q96P20	37
PMP22	Q01453	37
TPP1	O14773	37
UMOD	P07911	37
CDKN2A	P42771	36
FGFR3	P22607	36
GUSB	P08236	36
KIF1A	Q12756	36
PCDH19	Q8TAB3	36
PROC	P04070	36
ATRX	P46100	35
BRCA1	P38398	35
DES	P17661	35
DYNC2H1	Q8NCM8	35
ERCC2	P18074	35
GPR143	P51810	34
ITGA2B	P08514	34
KLHL3	Q9UH77	34
LCAT	P04180	34
SIX3	O95343	34
SLC7A9	P82251	34
CREBBP	Q92793	33
ENPP1	P22413	33
IL2RG	P31785	33
MCCC1	Q96RQ3	33
THRB	P10828	33
ABCA1	O95477	32
CD40LG	P29965	32
CLCN5	P51795	32
COL4A1	P02462	32
ENG	P17813	32
FKRP	Q9H9S5	32
FOXC1	Q12948	32
GRIN2A	Q12879	32
GUCY2D	Q02846	32
LMX1B	O60663	32
SLC37A4	O43826	32
TP63	Q9H3D4	32
CTNS	O60931	31
IGHMBP2	P38935	31
PRKN	O60260	31
TERT	O14746	31
FBN2	P35556	30
INF2	Q27J81	30
ITGB3	P05106	30
PANK2	Q9BZ23	30
PHEX	P78562	30
SOX11	P35716	30
SQSTM1	Q13501	30
WAS	P42768	30
ARSB	P15848	29
ATP8B1	O43520	29
CACNA1C	Q13936	29
CLCN7	P51798	29
CTSC	P53634	29
EIF2B5	Q13144	29
FLNA	P21333	29
MC4R	P32245	29
SGCA	Q16586	29
TECTA	O75443	29
AQP2	P41181	28
HSD3B2	P26439	28
NMNAT1	Q9HAN9	28
PAX3	P23760	28
SCN8A	Q9UQD0	28
ADA	P00813	27
ADSL	P30566	27
FANCA	O15360	27
KRAS	P01116	27
OAT	P04181	27
SRY	Q05066	27
TARDBP	Q13148	27
ALDH3A2	P51648	26
CYP17A1	P05093	26
F10	P00742	26
FOXL2	P58012	26
LZTR1	Q8N653	26
PCCB	P05166	26
SLC26A3	P40879	26
STAT1	P42224	26
ALG1	Q9BT22	25
CAV3	P56539	25
FRMD7	Q6ZUT3	25
GNPTAB	Q3T906	25
GREB1L	Q9C091	25
HGSNAT	Q68CP4	25
LHCGR	P22888	25
MUTYH	Q9UIF7	25
NTRK1	P04629	25
RPGR	Q92834	25
SACS	Q9NZJ4	25
TGFBR2	P37173	25
TMPRSS6	Q8IU80	25
ALAS2	P22557	24
BBS10	Q8TAM1	24
CLN6	Q9NWW5	24
DKC1	O60832	24
GDF5	P43026	24
GNAS	P63092	24
GPI	P06744	24
KRT6A	P02538	24
NR5A1	Q13285	24
PAX2	Q02962	24
PINK1	Q9BXM7	24
PTS	Q03393	24
TPO	P07202	24
CC2D2A	Q9P2K1	23
FECH	P22830	23
HLCS	P50747	23
HNF1B	P35680	23
LRRK2	Q5S007	23
MYO5B	Q9ULV0	23
NEU1	Q99519	23
PPT1	P50897	23
RPS19	P39019	23
SDHB	P21912	23
TGFBI	Q15582	23
AFG3L2	Q9Y4W6	22
APC	P25054	22
DNM2	P50570	22
FAS	P25445	22
GATA4	P43694	22
GLDC	P23378	22
H3-3A	P84243	22
IKBKG	Q9Y6K9	22
INS	P01308	22
MKKS	Q9NPJ1	22
MMAA	Q8IVH4	22
NHLRC1	Q6VVB1	22
RAF1	P04049	22
RB1	P06400	22
SLC5A1	P13866	22
ABCB11	O95342	21
ACTG2	P63267	21
BCS1L	Q9Y276	21
CLPB	Q9H078	21
CPT2	P23786	21
DYNC1H1	Q14204	21
G6PC3	Q9BUM1	21
GAN	Q9H2C0	21
HUWE1	Q7Z6Z7	21
KIT	P10721	21
KMT2D	O14686	21
KRT9	P35527	21
MET	P08581	21
PDHA1	P08559	21
SCN9A	Q15858	21
SLC45A2	Q9UMX9	21
SMC1A	Q14683	21
SPTA1	P02549	21
SRD5A2	P31213	21
TNNI3	P19429	21
TNNT2	P45379	21
UROS	P10746	21
ZIC2	O95409	21
ATP2C1	P98194	20
BBS2	Q9BXC9	20
CACNA1F	O60840	20
CSF1R	P07333	20
FAH	P16930	20
FBXW7	Q969H0	20
FOXF1	Q12946	20
FUS	P35637	20
GJA3	Q9Y6H8	20
HSPB1	P04792	20
KRT1	P04264	20
KRT17	Q04695	20
MFN2	O95140	20
NOG	Q13253	20
NPR2	P20594	20
POMGNT1	Q8WZA1	20
SETX	Q7Z333	20
SLC16A2	P36021	20
SPTBN1	Q01082	20
STXBP1	P61764	20
TPM2	P07951	20
ACADM	P11310	19
AFG2B	Q9BVQ7	19
AIRE	O43918	19
ATL1	Q8WXF7	19
BMPR2	Q13873	19
CDKL5	O76039	19
DOK7	Q18PE1	19
EFNB1	P98172	19
EPM2A	O95278	19
FLNB	O75369	19
FZD4	Q9ULV1	19
GHR	P10912	19
GMPPB	Q9Y5P6	19
HMGCL	P35914	19
HMGCS2	P54868	19
SH2D1A	O60880	19
STAT3	P40763	19
UBIAD1	Q9Y5Z9	19
VKORC1	Q9BQB6	19
ALOX12B	O75342	18
CACNA1H	O95180	18
CHD3	Q12873	18
COL10A1	Q03692	18
CYP27B1	O15528	18
DDX3X	O00571	18
EDAR	Q9UNE0	18
GAMT	Q14353	18
GARS1	P41250	18
GLRA1	P23415	18
GNAO1	P09471	18
HRAS	P01112	18
KCNA1	Q09470	18
KRT12	Q99456	18
MAPT	P10636	18
MTOR	P42345	18
NR0B1	P51843	18
PNPLA6	Q8IY17	18
PRNP	P04156	18
PTCH1	Q13635	18
RDH5	Q92781	18
SETBP1	Q9Y6X0	18
SLC7A7	Q9UM01	18
SMN1	Q16637	18
SOX9	P48436	18
TPM3	P06753	18
TREX1	Q9NSU2	18
UBR1	Q8IWV7	18
ACTA2	P62736	17
APP	P05067	17
ARMC5	Q96C12	17
CLDN16	Q9Y5I7	17
COQ2	Q96H96	17
CPOX	P36551	17
EFHC1	Q5JVL4	17
F13A1	P00488	17
GUCA1A	P43080	17
LGI1	O95970	17
MFSD8	Q8NHS3	17
MORC2	Q9Y6X9	17
MYH9	P35579	17
MYPN	Q86TC9	17
NOD2	Q9HC29	17
NPHP4	O75161	17
PEX1	O43933	17
PHKA2	P46019	17
PRKAR1A	P10644	17
PYGM	P11217	17
SLC20A2	Q08357	17
SLC25A1	P53007	17
ACTG1	P63261	16
ALDOB	P05062	16
ALK	Q9UM73	16
CLN8	Q9UBY8	16
DNMT3A	Q9Y6K1	16
DNMT3B	Q9UBC3	16
EYS	Q5T1H1	16
FBLN5	Q9UBX5	16
FSHR	P23945	16
GALE	Q14376	16
GATA6	Q92908	16
GNB1	P62873	16
HCN1	O60741	16
KRT10	P13645	16
KRT16	P08779	16
MATN3	O15232	16
MPV17	P39210	16
NF2	P35240	16
NR2E3	Q9Y5X4	16
NYX	Q9GZU5	16
PCCA	P05165	16
PIGA	P37287	16
PRODH	O43272	16
PROKR2	Q8NFJ6	16
PRPS1	P60891	16
QDPR	P09417	16
SLC35A2	P78381	16
SUMF1	Q8NBK3	16
TBC1D24	Q9ULP9	16
TRNT1	Q96Q11	16
VCP	P55072	16
ABCC9	O60706	15
ALDH18A1	P54886	15
ANOS1	P23352	15
C19orf12	Q9NSK7	15
CPT1A	P50416	15
ERCC4	Q92889	15
EYA1	Q99502	15
GATM	P50440	15
GH1	P01241	15
HSD17B3	P37058	15
INPP5E	Q9NRR6	15
ITGB2	P05107	15
KRT2	P35908	15
MLC1	Q15049	15
POLR3A	O14802	15
POMT2	Q9UKY4	15
PORCN	Q9H237	15
SLC25A15	Q9Y619	15
TGFBR1	P36897	15
TUBB8	Q3ZCM7	15
ABCA12	Q86UK0	14
ADAMTSL2	Q86TH1	14
ANG	P03950	14
ASAH1	Q13510	14
ATP1A2	P50993	14
CACNA1E	Q15878	14
COCH	O43405	14
COL6A3	P12111	14
CRLF1	O75462	14
CTNNB1	P35222	14
DMD	P11532	14
EARS2	Q5JPH6	14
ECHS1	P30084	14
FLT4	P35916	14
GDF6	Q6KF10	14
GNRHR	P30968	14
GRIA2	P42262	14
GSS	P48637	14
HADHB	P55084	14
HJV	Q6ZVN8	14
HSD11B2	P80365	14
ITGB4	P16144	14
IVD	P26440	14
KIF5A	Q12840	14
MMACHC	Q9Y4U1	14
MPL	P40238	14
MYH3	P11055	14
NCF2	P19878	14
NR3C2	P08235	14
NRAS	P01111	14
NSD1	Q96L73	14
OSGEP	Q9NPF4	14
OTOF	Q9HC10	14
PHYH	O14832	14
POLR3B	Q9NW08	14
RNASEH2B	Q5TBB1	14
RTEL1	Q9NZ71	14
SKI	P12755	14
SLC40A1	Q9NP59	14
SLC6A19	Q695T7	14
SLCO2A1	Q92959	14
SOX10	P56693	14
STIM1	Q13586	14
TCF4	P15884	14
VDR	P11473	14
ABCA3	Q99758	13
B3GALT6	Q96L58	13
BCKDHA	P12694	13
BMP15	O95972	13
CFI	P05156	13
CHEK2	O96017	13
CHRNE	Q04844	13
COL4A3	Q01955	13
COL6A1	P12109	13
F12	P00748	13
FH	P07954	13
FHL1	Q13642	13
FOXI3	A8MTJ6	13
GFPT1	Q06210	13
GLUD1	P00367	13
GRIN1	Q05586	13
H4C1	P62805	13
KCNJ1	P48048	13
KLHL40	Q2TBA0	13
MPI	P34949	13
PDE6B	P35913	13
PGM1	P36871	13
PITX2	Q99697	13
POLR1C	O15160	13
POU1F1	P28069	13
RBM20	Q5T481	13
RPS6KA3	P51812	13
SAMHD1	Q9Y3Z3	13
SCNN1B	P51168	13
SGCB	Q16585	13
SGCE	O43556	13
SLC46A1	Q96NT5	13
ZC4H2	Q9NQZ6	13
ACAD9	Q9H845	12
ADAR	P55265	12
AGA	P20933	12
AIFM1	O95831	12
ALDH5A1	P51649	12
APOE	P02649	12
BBS1	Q8NFJ9	12
C3	P01024	12
CANT1	Q8WVQ1	12
CHRNA1	P02708	12
CLN5	O75503	12
CNOT1	A5YKK6	12
COQ8A	Q8NI60	12
CRPPA	A4D126	12
CTSA	P10619	12
CYBA	P13498	12
DNAH5	Q8TE73	12
ETFDH	Q16134	12
EXT1	Q16394	12
GABRG2	P18507	12
GNAI1	P63096	12
GRIN2B	Q13224	12
KARS1	Q15046	12
KCNJ2	P63252	12
KCNT1	Q5JUK3	12
MAT1A	Q00266	12
NEFL	P07196	12
NR3C1	P04150	12
PDE4D	Q08499	12
PIEZO1	Q92508	12
PRSS1	P07477	12
SATB1	Q01826	12
SLC6A8	P48029	12
STUB1	Q9UNE7	12
TBK1	Q9UHD2	12
TFE3	P19532	12
TNFRSF1A	P19438	12
TRPM1	Q7Z4N2	12
TRPM4	Q8TD43	12
TUBB3	Q13509	12
TULP1	O00294	12
ABCB6	Q9NP58	11
ACTC1	P68032	11
AGO2	Q9UKV8	11
AMT	P48728	11
CARD14	Q9BXL6	11
CARD9	Q9H257	11
CHD5	Q8TDI0	11
CLCN4	P51793	11
CYP7B1	O75881	11
DARS2	Q6PI48	11
DCTN1	Q14203	11
EGR2	P11161	11
EPHB4	P54760	11
EZH2	Q15910	11
GALK1	P51570	11
GDAP1	Q8TB36	11
GJA8	P48165	11
HEPACAM	Q14CZ8	11
HFE	Q30201	11
HSD17B10	Q99714	11
HTRA1	Q92743	11
KIF21A	Q7Z4S6	11
LAMA2	P24043	11
LDHB	P07195	11
LRP4	O75096	11
MAF	O75444	11
MNX1	P50219	11
NALCN	Q8IZF0	11
NNT	Q13423	11
OXCT1	P55809	11
PEX6	Q13608	11
PIGT	Q969N2	11
PLA2G6	O60733	11
SI	P14410	11
SMARCAL1	Q9NZC9	11
SNRNP200	O75643	11
SUOX	P51687	11
SURF1	Q15526	11
TBCD	Q9BTW9	11
TK2	O00142	11
TNPO2	O14787	11
TSC1	Q92574	11
TTC21B	Q7Z4L5	11
WDR19	Q8NEZ3	11
ABCG8	Q9H221	10
ACADS	P16219	10
ACAT1	P24752	10
ADA2	Q9NZK5	10
AFG2A	Q8NB90	10
ALDH1A3	P47895	10
AMPD3	Q01432	10
BBS12	Q6ZW61	10
BICD2	Q8TD16	10
CHAT	P28329	10
COL6A2	P12110	10
CRYAA	P02489	10
CTRC	Q99895	10
DHODH	Q02127	10
DLD	P09622	10
DSPP	Q9NZW4	10
DYNC2I2	Q96EX3	10
ELAC2	Q9BQ52	10
F2	P00734	10
FKTN	O75072	10
FOXP3	Q9BZS1	10
GPIHBP1	Q8IV16	10
IFIH1	Q9BYX4	10
IFNGR1	P15260	10
IFT140	Q96RY7	10
KCNH1	O95259	10
KDM5C	P41229	10
LONP1	P36776	10
LPAR6	P43657	10
MAFB	Q9Y5Q3	10
MOCS1	Q9NZB8	10
MT-ATP6	P00846	10
NRL	P54845	10
PKD2	Q13563	10
POLH	Q9Y253	10
POMT1	Q9Y6A1	10
POU4F3	Q15319	10
RDH12	Q96NR8	10
RP2	O75695	10
RRM2B	Q7LG56	10
SAMD9	Q5K651	10
SDHD	O14521	10
SELENON	Q9NZV5	10
SEMA3A	Q14563	10
SLC22A12	Q96S37	10
SLC52A2	Q9HAB3	10
SLC52A3	Q9NQ40	10
TAFAZZIN	Q16635	10
TEK	Q02763	10
TGFB1	P01137	10
TOE1	Q96GM8	10
TRIO	O75962	10
TRPC6	Q9Y210	10
TTN	Q8WZ42	10
TUBB2B	Q9BVA1	10
WNT10A	Q9GZT5	10
ZIC3	O60481	10
ACAD8	Q9UKU7	9
ACSF3	Q4G176	9
ACTN2	P35609	9
ADGRG1	Q9Y653	9
AMH	P03971	9
ANKRD17	O75179	9
APTX	Q7Z2E3	9
ARG1	P05089	9
ARSL	P51690	9
ARX	Q96QS3	9
ATP13A2	Q9NQ11	9
ATP2B1	P20020	9
ATP6V1B1	P15313	9
BBS4	Q96RK4	9
BTD	P43251	9
CACNA1S	Q13698	9
CCN6	O95389	9
CDAN1	Q8IWY9	9
CDH11	P55287	9
CDKN3	Q16667	9
CLN3	Q13286	9
CTC1	Q2NKJ3	9
CYB5R3	P00387	9
DDC	P20711	9
EBF3	Q9H4W6	9
EBP	Q15125	9
EDNRB	P24530	9
EIF2B2	P49770	9
ERCC6	Q03468	9
ETHE1	O95571	9
EXT2	Q93063	9
FAM20C	Q8IXL6	9
GABRB3	P28472	9
GATA5	Q9BWX5	9
GBE1	Q04446	9
GP1BA	P07359	9
HEXB	P07686	9
HOXD13	P35453	9
KCNE1	P15382	9
LAMB2	P55268	9
MAX	P61244	9
MBTPS2	O43462	9
MC2R	Q01718	9
MLH3	Q9UHC1	9
MT-ND5	P03915	9
MT-ND6	P03923	9
NLRP7	Q8WX94	9
PC	P11498	9
PCSK9	Q8NBP7	9
PFKM	P08237	9
PGK1	P00558	9
PLG	P00747	9
PMS2	P54278	9
POR	P16435	9
POT1	Q9NUX5	9
PPA2	Q9H2U2	9
PYCR1	P32322	9
RIT1	Q92963	9
SCN11A	Q9UI33	9
SIAE	Q9HAT2	9
SLC25A4	P12235	9
SLC26A2	P50443	9
SLC34A1	Q06495	9
SLC39A4	Q6P5W5	9
SPTLC1	O15269	9
STK11	Q15831	9
TBX5	Q99593	9
THBD	P07204	9
TTC7A	Q9ULT0	9
UBQLN2	Q9UHD9	9
WARS2	Q9UGM6	9
ACP5	P13686	8
ACTN4	O43707	8
ACVR1	Q04771	8
AICDA	Q9GZX7	8
ALDH7A1	P49419	8
AMHR2	Q16671	8
APRT	P07741	8
BLM	P54132	8
BMPR1A	P36894	8
CALM2	P0DP24	8
CDH2	P19022	8
CDK19	Q9BWU1	8
CLCN2	P51788	8
CLRN1	P58418	8
CNGB3	Q9NQW8	8
COL11A1	P12107	8
COL4A4	P53420	8
COQ8B	Q96D53	8
CYP4V2	Q6ZWL3	8
DARS1	P14868	8
EFEMP2	O95967	8
FARSB	Q9NSD9	8
FBXO11	Q86XK2	8
FGG	P02679	8
FLVCR2	Q9UPI3	8
FMO3	P31513	8
FN1	P02751	8
FXN	Q16595	8
GALNT12	Q8IXK2	8
GGCX	P38435	8
