gene_name	accession	n
C1S	P09871	1
C2CD3	Q4AC94	1
CA5A	P35218	1
CA8	P35219	1
CABP4	P57796	1
CACNA2D1	P54289	1
CACNA2D2	Q9NY47	1
CACNB4	O00305	1
CACNG2	Q9Y698	1
CAD	P27708	1
CADM3	Q8N126	1
CAMK2G	Q13555	1
CAPN1	P07384	1
CARD8	Q9Y2G2	1
CARS2	Q9HA77	1
CASP8	Q14790	1
CASZ1	Q86V15	1
CATIP	Q7Z7H3	1
CBLIF	P27352	1
CCDC88C	Q9P219	1
CCNK	O75909	1
CCT5	P48643	1
CD207	Q9UJ71	1
CD27	P26842	1
CD55	P08174	1
CD59	P13987	1
CD79B	P40259	1
CD8A	P01732	1
CD96	P40200	1
CDC40	O60508	1
CDC42	P60953	1
CDC6	Q99741	1
CDHR1	Q96JP9	1
CDK6	Q00534	1
CEBPA	P49715	1
CELF2	O95319	1
CENPJ	Q9HC77	1
CEP120	Q8N960	1
CERKL	Q49MI3	1
CERS1	P27544	1
CFAP276	Q5T5A4	1
CFAP300	Q9BRQ4	1
CFAP52	Q8N1V2	1
CFC1	P0CG37	1
CFL2	Q9Y281	1
CHCHD2	Q9Y6H1	1
CHRDL1	Q9BU40	1
CHRNA2	Q15822	1
CHST8	Q9H2A9	1
CHSY1	Q86X52	1
CLCC1	Q96S66	1
CLCF1	Q9UBD9	1
CLCN6	P51797	1
CLCNKA	P51800	1
CLEC3B	P05452	1
CLIC2	O15247	1
CLMP	Q9H6B4	1
CLP1	Q92989	1
CLPX	O76031	1
CLRN2	A0PK11	1
CLTC	Q00610	1
CNGA1	P29973	1
CNGB1	Q14028	1
COA5	Q86WW8	1
COASY	Q13057	1
COG2	Q14746	1
COG6	Q9Y2V7	1
COL25A1	Q9BXS0	1
COL27A1	Q8IZC6	1
COL4A6	Q14031	1
COL9A2	Q14055	1
COL9A3	Q14050	1
COLEC10	Q9Y6Z7	1
COPB1	P53618	1
COQ7	Q99807	1
CORO1A	P31146	1
COX14	Q96I36	1
COX20	Q5RI15	1
COX4I1	P13073	1
COX4I2	Q96KJ9	1
COX5A	P20674	1
CPAMD8	Q8IZJ3	1
CPN1	P15169	1
CPSF3	Q9UKF6	1
CPT1C	Q8TCG5	1
CRADD	P78560	1
CRBN	Q96SW2	1
CREB3L3	Q68CJ9	1
CRIPT	Q9P021	1
CRLS1	Q9UJA2	1
CRNN	Q9UBG3	1
CRYBA2	P53672	1
CRYGS	P22914	1
CRYM	Q14894	1
CSF2RA	P15509	1
CSNK1G1	Q9HCP0	1
CSTB	P04080	1
CTBP1	Q13363	1
CTCF	P49711	1
CTLA4	P16410	1
CTNNA3	Q9UI47	1
CTNNBL1	Q8WYA6	1
CUX2	O14529	1
CYB561	P49447	1
CYB5A	P00167	1
CYCS	P99999	1
CYP2R1	Q6VVX0	1
CYP3A4	P08684	1
DACT1	Q9NYF0	1
DCAF8	Q5TAQ9	1
DCPS	Q96C86	1
DDHD2	O94830	1
DDOST	P39656	1
DDX11	Q96FC9	1
DDX41	Q9UJV9	1
DHDDS	Q86SQ9	1
DHH	O43323	1
DHPS	P49366	1
DHX16	O60231	1
DHX38	Q92620	1
DIABLO	Q9NR28	1
DIAPH1	O60610	1
DLL1	O00548	1
DLL3	Q9NYJ7	1
DLST	P36957	1
DLX5	P56178	1
DMGDH	Q9UI17	1
DNAAF1	Q8NEP3	1
DNAAF3	Q8N9W5	1
DNAAF5	Q86Y56	1
DNAAF6	Q9NQM4	1
DNAH10	Q8IVF4	1
DNAH2	Q9P225	1
DNAI1	Q9UI46	1
DNAJB13	P59910	1
DNAJB2	P25686	1
DNAJC12	Q9UKB3	1
DNAJC21	Q5F1R6	1
DNAJC5	Q9H3Z4	1
DNAJC6	O75061	1
DNAL1	Q4LDG9	1
DOCK8	Q8NF50	1
DOHH	Q9BU89	1
DPH2	Q9BQC3	1
DPM2	O94777	1
DPM3	Q9P2X0	1
DPP6	P42658	1
DSE	Q9UL01	1
DUT	P33316	1
DYNC1I2	Q13409	1
DYNC2I1	Q8WVS4	1
ECE1	P42892	1
ECM1	Q16610	1
EDC3	Q96F86	1
EEF2	P13639	1
EFEMP1	Q12805	1
EGF	P01133	1
EGFR	P00533	1
EHHADH	Q08426	1
EHMT1	Q9H9B1	1
EIF2AK2	P19525	1
EIF2AK3	Q9NZJ5	1
EIF2S3	P41091	1
EIF3F	O00303	1
EIF4A3	P38919	1
ELOVL1	Q9BW60	1
ELOVL4	Q9GZR5	1
EMG1	Q92979	1
EMILIN1	Q9Y6C2	1
ENTPD1	P49961	1
EP300	Q09472	1
EPB41L1	Q9H4G0	1
EPCAM	P16422	1
EPO	P01588	1
EPOR	P19235	1
EPRS1	P07814	1
EPX	P11678	1
ERAL1	O75616	1
ERBB2	P04626	1
ERCC1	P07992	1
ERLIN1	O75477	1
ERMARD	Q5T6L9	1
ESCO2	Q56NI9	1
ESR2	Q92731	1
ESRP1	Q6NXG1	1
EXOSC1	Q9Y3B2	1
EXOSC9	Q06265	1
FADD	Q13158	1
FAM83H	Q6ZRV2	1
FANCG	O15287	1
FASLG	P48023	1
FBP2	O00757	1
FBXL3	Q9UKT7	1
FBXO32	Q969P5	1
FBXO38	Q6PIJ6	1
FBXO7	Q9Y3I1	1
FCGR3A	P08637	1
FDPS	P14324	1
FDX2	Q6P4F2	1
FEM1C	Q96JP0	1
FEZF1	A0PJY2	1
FGF12	P61328	1
FGF14	Q92915	1
FGF16	O43320	1
FGF5	P12034	1
FGF9	P31371	1
FITM2	Q8N6M3	1
FLAD1	Q8NFF5	1
FOXC2	Q99958	1
FOXP2	O15409	1
FRMPD4	Q14CM0	1
FRZB	Q92765	1
FSHB	P01225	1
FTSJ1	Q9UET6	1
FUT8	Q9BYC5	1
FXYD2	P54710	1
FYCO1	Q9BQS8	1
FZD6	O60353	1
GAB1	Q13480	1
GABRB2	P47870	1
GABRD	O14764	1
GAD1	Q99259	1
GAL	P22466	1
GALM	Q96C23	1
GAS8	O95995	1
GATAD1	Q8WUU5	1
GATC	O43716	1
GDF11	O95390	1
GFER	P55789	1
GLYCTK	Q8IVS8	1
GMNN	O75496	1
GNAI3	P08754	1
GNAQ	P50148	1
GNB5	O14775	1
GNPNAT1	Q96EK6	1
GOT2	P00505	1
GPC3	P51654	1
GPD1	P21695	1
GPR101	Q96P66	1
GPR68	Q15743	1
GPRASP2	Q96D09	1
GPT2	Q8TD30	1
GRAP	Q13588	1
GRIN2D	O15399	1
GRM7	Q14831	1
GRN	P28799	1
GSR	P00390	1
GSX2	Q9BZM3	1
GTF2H5	Q6ZYL4	1
GUCA1B	Q9UMX6	1
GUF1	Q8N442	1
HABP2	Q14520	1
HCCS	P53701	1
HCRT	O43612	1
HERC1	Q15751	1
HERC2	O95714	1
HHAT	Q5VTY9	1
HIBCH	Q6NVY1	1
HIKESHI	Q53FT3	1
HMCN1	Q96RW7	1
HNRNPA2B1	P22626	1
HNRNPR	O43390	1
HOMER2	Q9NSB8	1
HOXA2	O43364	1
HOXB1	P14653	1
HOXB13	Q92826	1
HOXD10	P28358	1
HP	P00738	1
HPS3	Q969F9	1
HSF2BP	O75031	1
HSPB3	Q12988	1
HSPG2	P98160	1
HYAL1	Q12794	1
HYLS1	Q96M11	1
IBA57	Q5T440	1
IDH3B	O43837	1
IFITM5	A6NNB3	1
IFT27	Q9BW83	1
IFT52	Q9Y366	1
IFT56	A0AVF1	1
IFT81	Q8WYA0	1
IGKC	P01834	1
IGLL1	P15814	1
IKBKB	O14920	1
IKZF3	Q9UKT9	1
IL12RB1	P42701	1
IL17F	Q96PD4	1
IL21	Q9HBE4	1
IL21R	Q9HBE5	1
IL2RB	P14784	1
IL31RA	Q8NI17	1
IL37	Q9NZH6	1
IL6R	P08887	1
IL7R	P16871	1
ILDR1	Q86SU0	1
INAVA	Q3KP66	1
ING3	Q9NXR8	1
INTS1	Q8N201	1
INTS8	Q75QN2	1
IRF2BP2	Q7Z5L9	1
IRF2BPL	Q9H1B7	1
IRF3	Q14653	1
IRF7	Q92985	1
ISCA2	Q86U28	1
ITGA8	P53708	1
ITK	Q08881	1
ITM2B	Q9Y287	1
ITPA	Q9BY32	1
ITPR2	Q14571	1
JAG2	Q9Y219	1
KCNC1	P48547	1
KCND2	Q9NZV8	1
KCNJ6	P48051	1
KCNJ8	Q15842	1
KCNT2	Q6UVM3	1
KCTD17	Q8N5Z5	1
KDELR2	P33947	1
KDSR	Q06136	1
KIAA0586	Q9BVV6	1
KIF1B	O60333	1
KIF1C	O43896	1
KIF20A	O95235	1
KIF23	Q02241	1
KIF3C	O14782	1
KIRREL1	Q96J84	1
KISS1	Q15726	1
KITLG	P21583	1
KL	Q9UEF7	1
KLF1	Q13351	1
KLHL24	Q6TFL4	1
KLHL41	O60662	1
KNG1	P01042	1
KNL1	Q8NG31	1
KREMEN1	Q96MU8	1
KRT4	P19013	1
KRT6B	P04259	1
KRT6C	P48668	1
KRT71	Q3SY84	1
KRT75	O95678	1
KRT85	P78386	1
KYNU	Q16719	1
LACC1	Q8IV20	1
LAMA4	Q16363	1
LAMA5	O15230	1
LAMC3	Q9Y6N6	1
LAMP2	P13473	1
LARS1	Q9P2J5	1
LCK	P06239	1
LEFTY2	O00292	1
LFNG	Q8NES3	1
LHB	P01229	1
LIAS	O43766	1
LIFR	P42702	1
LIM2	P55344	1
LMAN1	P49257	1
LMAN2L	Q9H0V9	1
LMOD3	Q0VAK6	1
LMX1A	Q8TE12	1
LPIN2	Q92539	1
LRAT	O95237	1
LRBA	P50851	1
LRP1	Q07954	1
LRP2	P98164	1
LRPPRC	P42704	1
LRRC56	Q8IYG6	1
LRSAM1	Q6UWE0	1
LSM11	P83369	1
LTBP2	Q14767	1
LTBP4	Q8N2S1	1
LYRM4	Q9HD34	1
LYRM7	Q5U5X0	1
LYSET	Q8N6I4	1
LZTFL1	Q9NQ48	1
MAD2L2	Q9UI95	1
MAFA	Q8NHW3	1
MAG	P20916	1
MAGED2	Q9UNF1	1
MAGT1	Q9H0U3	1
MALT1	Q9UDY8	1
MAOA	P21397	1
MAPK8IP1	Q9UQF2	1
MAPKAPK3	Q16644	1
MARK3	P27448	1
MARS2	Q96GW9	1
MAST1	Q9Y2H9	1
MBD4	O95243	1
MBTPS1	Q14703	1
MCM10	Q7L590	1
MCM2	P49736	1
MCM5	P33992	1
MCM8	Q9UJA3	1
MCPH1	Q8NEM0	1
MDH1	P40925	1
MDM4	O15151	1
MED17	Q9NVC6	1
MED23	Q9ULK4	1
MEIOB	Q8N635	1
MFAP5	Q13361	1
MFRP	Q9BY79	1
MGME1	Q9BQP7	1
MIB1	Q86YT6	1
MID2	Q9UJV3	1
MLPH	Q9BV36	1
MMP14	P50281	1
MOCS2	O96007	1
MOCS2	O96033	1
MOG	Q16653	1
MOV10L1	Q9BXT6	1
MPLKIP	Q8TAP9	1
MRE11	P49959	1
MRM2	Q9UI43	1
MRPL12	P52815	1
MRPL3	P09001	1
MRPL44	Q9H9J2	1
MRPS14	O60783	1
MRPS22	P82650	1
MRPS23	Q9Y3D9	1
MRPS25	P82663	1
MRPS28	Q9Y2Q9	1
MRPS34	P82930	1
MRPS7	Q9Y2R9	1
MSH5	O43196	1
MSN	P26038	1
MSRB3	Q8IXL7	1
MST1R	Q04912	1
MSTO1	Q9BUK6	1
MT-CO2	P00403	1
MT-ND4L	P03901	1
MTMR2	Q13614	1
MTO1	Q9Y2Z2	1
MTPAP	Q9NVV4	1
MTSS2	Q765P7	1
MXI1	P50539	1
MXRA5	Q9NR99	1
MYF5	P13349	1
MYH10	P35580	1
MYH2	Q9UKX2	1
MYL1	P05976	1
MYL4	P12829	1
MYO1F	O00160	1
MYSM1	Q5VVJ2	1
NACC1	Q96RE7	1
NBN	O60934	1
NCAPD3	P42695	1
NCAPH	Q15003	1
NCF1	P14598	1
NCF4	Q15080	1
NCSTN	Q92542	1
NDNF	Q8TB73	1
NDUFA10	O95299	1
NDUFA13	Q9P0J0	1
NDUFA6	P56556	1
NDUFAF7	Q7L592	1
NDUFB10	O96000	1
NDUFB11	Q9NX14	1
NDUFB3	O43676	1
NDUFB9	Q9Y6M9	1
NDUFC2	O95298	1
NDUFS4	O43181	1
NDUFS6	O75380	1
NDUFS7	O75251	1
NECTIN4	Q96NY8	1
NFKBIA	P25963	1
NFS1	Q9Y697	1
NGF	P01138	1
NLGN3	Q9NZ94	1
NOP10	Q9NPE3	1
NOS1AP	O75052	1
NOTCH2	Q04721	1
NPHP1	O15259	1
NPPA	P01160	1
NPRL2	Q8WTW4	1
NSUN2	Q08J23	1
NT5E	P21589	1
NTRK2	Q16620	1
NUP155	O75694	1
NUP205	Q92621	1
NUP62	P37198	1
NUP88	Q99567	1
OCLN	Q16625	1
ODAD1	Q96M63	1
ODAD2	Q5T2S8	1
OPCML	Q14982	1
ORC4	O43929	1
ORC6	Q9Y5N6	1
OTOG	Q6ZRI0	1
P3H2	Q8IVL5	1
P4HB	P07237	1
P4HTM	Q9NXG6	1
PACS1	Q6VY07	1
PACS2	Q86VP3	1
PAK2	Q13177	1
PALB2	Q86YC2	1
PAM16	Q9Y3D7	1
PAPPA2	Q9BXP8	1
PAX1	P15863	1
PAX5	Q02548	1
PAX7	P23759	1
PAX9	P55771	1
PCK1	P35558	1
PCNA	P12004	1
PDE1C	Q14123	1
PDE8B	O95263	1
PDGFRL	Q15198	1
PDK3	Q15120	1
PDSS1	Q5T2R2	1
PDSS2	Q86YH6	1
PER2	O15055	1
PERP	Q96FX8	1
PEX12	O00623	1
PHC1	P78364	1
PHF8	Q9UPP1	1
PHKA1	P46020	1
PHKB	Q93100	1
PHOX2A	O14813	1
PI4KB	Q9UBF8	1
PIGF	Q07326	1
PIGH	Q14442	1
PIGL	Q9Y2B2	1
PIGN	O95427	1
PIGP	P57054	1
PIGY	Q3MUY2	1
PIK3CD	O00329	1
PIK3R5	Q8WYR1	1
PIKFYVE	Q9Y2I7	1
PIP5K1C	O60331	1
PITPNM3	Q9BZ71	1
PITX1	P78337	1
PITX3	O75364	1
PKD1L1	Q8TDX9	1
PLA2G4A	P47712	1
PLCB3	Q01970	1
PLCE1	Q9P212	1
PLCG2	P16885	1
PLCZ1	Q86YW0	1
PLD1	Q13393	1
PLEKHG2	Q9H7P9	1
PLOD3	O60568	1
PLVAP	Q9BX97	1
PNLDC1	Q8NA58	1
PNLIP	P16233	1
PNPLA2	Q96AD5	1
POC1A	Q8NBT0	1
POC1B	Q8TC44	1
POF1B	Q8WVV4	1
POGZ	Q7Z3K3	1
POLR3K	Q9Y2Y1	1
POU4F1	Q01851	1
POU6F2	P78424	1
PPIB	P23284	1
PPIP5K2	O43314	1
PPP1R15B	Q5SWA1	1
PPP1R3A	Q16821	1
PPP2R2B	Q00005	1
PRDM16	Q9HAZ2	1
PRDM5	Q9NQX1	1
PRDM8	Q9NQV8	1
PRICKLE3	O43900	1
PRIM1	P49642	1
PRIMPOL	Q96LW4	1
PRKACG	P22612	1
PRKG1	Q13976	1
PRKRA	O75569	1
PRPF6	O94906	1
PRRX1	P54821	1
PRX	Q9BXM0	1
PSMB9	P28065	1
PTPRQ	Q9UMZ3	1
PTRH2	Q9Y3E5	1
PUF60	Q9UHX1	1
PUS1	Q9Y606	1
PUS7	Q96PZ0	1
PXDN	Q92626	1
RAB18	Q9NP72	1
RABL3	Q5HYI8	1
RALGAPA1	Q6GYQ0	1
RASGRP1	O95267	1
RAX	Q9Y2V3	1
RBBP8	Q99708	1
RBM28	Q9NW13	1
RBP3	P10745	1
RDX	P35241	1
RECQL4	O94761	1
RFWD3	Q6PCD5	1
RFX5	P48382	1
RFXANK	O14593	1
RGR	P47804	1
RGS9	O75916	1
RHOG	P84095	1
RIC1	Q4ADV7	1
RIMS1	Q86UR5	1
RMND1	Q9NWS8	1
RNASET2	O00584	1
RNF2	Q99496	1
RNPC3	Q96LT9	1
ROBO1	Q9Y6N7	1
ROBO4	Q8WZ75	1
ROR1	Q01973	1
RORB	Q92753	1
RORC	P51449	1
RPA1	P27694	1
RPIA	P49247	1
RPL10L	Q96L21	1
RPL11	P62913	1
RPL13	P26373	1
RPL21	P46778	1
RPL35A	P18077	1
RRP7A	Q9Y3A4	1
RSPH1	Q8WYR4	1
RSPH4A	Q5TD94	1
RSPO2	Q6UXX9	1
RSPRY1	Q96DX4	1
RTN2	O75298	1
RTN4IP1	Q8WWV3	1
RXFP2	Q8WXD0	1
SAG	P10523	1
SALL4	Q9UJQ4	1
SARS2	Q9NP81	1
SASH3	O75995	1
SASS6	Q6UVJ0	1
SCARB2	Q14108	1
SCARF2	Q96GP6	1
SCNM1	Q9BWG6	1
SCO1	O75880	1
SDHAF2	Q9NX18	1
SEC23A	Q15436	1
SECISBP2	Q96T21	1
SELENOI	Q9C0D9	1
SEMA7A	O75326	1
SERPINF2	P08697	1
SERPINH1	P50454	1
SETD5	Q9C0A6	1
SFTPB	P07988	1
SGO1	Q5FBB7	1
SH3PXD2B	A1X283	1
SHMT2	P34897	1
SIGMAR1	Q99720	1
SIK3	Q9Y2K2	1
SKIC2	Q15477	1
SLC17A8	Q8NDX2	1
SLC18A2	Q05940	1
SLC1A1	P43005	1
SLC1A3	P43003	1
SLC22A18	Q96BI1	1
SLC25A13	Q9UJS0	1
SLC25A21	Q9BQT8	1
SLC25A22	Q9H936	1
SLC25A3	Q00325	1
SLC25A42	Q86VD7	1
SLC2A4	P14672	1
SLC34A2	O95436	1
SLC35A3	Q9Y2D2	1
SLC35D1	Q9NTN3	1
SLC38A3	Q99624	1
SLC39A5	Q6ZMH5	1
SLC41A1	Q8IVJ1	1
SLC44A4	Q53GD3	1
SLC4A3	P48751	1
SLC5A2	P31639	1
SLC6A2	P23975	1
SLC6A9	P48067	1
SLC7A6OS	Q96CW6	1
SLC9A1	P19634	1
SLC9A7	Q96T83	1
SLF2	Q8IX21	1
SMAD9	O15198	1
SMC5	Q8IY18	1
SMG8	Q8ND04	1
SMO	Q99835	1
SMPD4	Q9NXE4	1
SMYD4	Q8IYR2	1
SNAP25	P60880	1
SNIP1	Q8TAD8	1
SNRPE	P62304	1
SPART	Q8N0X7	1
SPATA16	Q9BXB7	1
SPEG	Q15772	1
SPG11	Q96JI7	1
SPINT2	O43291	1
SPRED2	Q7Z698	1
SPRTN	Q9H040	1
SPRY2	O43597	1
SQOR	Q9Y6N5	1
SRC	P12931	1
SRP72	O76094	1
SSUH2	Q9Y2M2	1
ST14	Q9Y5Y6	1
ST6GALNAC1	Q9NSC7	1
STAC3	Q96MF2	1
STIL	Q15468	1
STK10	O94804	1
SUGCT	Q9HAC7	1
SYN1	P17600	1
SYNE2	Q8WXH0	1
SYP	P08247	1
SYT14	Q8NB59	1
SZT2	Q5T011	1
TAF2	Q6P1X5	1
TALDO1	P37837	1
TANC2	Q9HCD6	1
TAPT1	Q6NXT6	1
TARS2	Q9BW92	1
TASP1	Q9H6P5	1
TAT	P17735	1
TBCE	Q15813	1
TBX19	O60806	1
TBX2	Q13207	1
TBXA2R	P21731	1
TBXT	O15178	1
TCEAL1	Q15170	1
TCF20	Q9UGU0	1
TCOF1	Q13428	1
TCTN3	Q6NUS6	1
TDO2	P48775	1
TDP1	Q9NUW8	1
TEAD1	P28347	1
TECR	Q9NZ01	1
TET2	Q6N021	1
TFAM	Q00059	1
TFRC	P02786	1
TGFB3	P10600	1
TGM5	O43548	1
THG1L	Q9NWX6	1
THOC1	Q96FV9	1
THOC6	Q86W42	1
THUMPD1	Q9NXG2	1
TICAM1	Q8IUC6	1
TIMM22	Q9Y584	1
TIMM8A	O60220	1
TJP2	Q9UDY2	1
TKT	P29401	1
TLE6	Q9H808	1
TLR3	O15455	1
TMEM106B	Q9NUM4	1
TMEM107	Q6UX40	1
TMEM126B	Q8IUX1	1
TMEM132E	Q6IEE7	1
TMEM151A	Q8N4L1	1
TMEM222	Q9H0R3	1
TMEM70	Q9BUB7	1
TMLHE	Q9NVH6	1
TNFAIP3	P21580	1
TNFRSF4	P43489	1
TNFSF11	O14788	1
TNNI2	P48788	1
TNNI3K	Q59H18	1
TNPO3	Q9Y5L0	1
TNR	Q92752	1
TOM1	O60784	1
TPH2	Q8IWU9	1
TPP2	P29144	1
TRAF3	Q13114	1
TRAIP	Q9BWF2	1
TRAPPC10	P48553	1
TRAPPC11	Q7Z392	1
TRAPPC2L	Q9UL33	1
TRDN	Q13061	1
TREM2	Q9NZC2	1
TRIM2	Q9C040	1
TRIM36	Q9NQ86	1
TRIM44	Q96DX7	1
TRIOBP	Q9H2D6	1
TRIP13	Q15645	1
TRIT1	Q9H3H1	1
TRMT10A	Q8TBZ6	1
TRPA1	O75762	1
TRPC3	Q13507	1
TRPM7	Q96QT4	1
TSEN2	Q8NCE0	1
TSEN34	Q9BSV6	1
TSHB	P01222	1
TSPAN7	P41732	1
TSR2	Q969E8	1
TTC12	Q9H892	1
TTC21A	Q8NDW8	1
TTI2	Q6NXR4	1
TTLL5	Q6EMB2	1
TUBB1	Q9H4B7	1
TUBB6	Q9BUF5	1
TUFM	P49411	1
TULP3	O75386	1
UBE2T	Q9NPD8	1
UBE3B	Q7Z3V4	1
UBQLN4	Q9NRR5	1
UBTF	P17480	1
UCP3	P55916	1
UFM1	P61960	1
UGP2	Q16851	1
UNC119	Q13432	1
UNC5C	O95185	1
UNG	P13051	1
UPF3B	Q9BZI7	1
UQCC3	Q6UW78	1
UQCRC2	P22695	1
UQCRFS1	P47985	1
UQCRQ	O14949	1
USP27X	A6NNY8	1
USP9X	Q93008	1
UVSSA	Q2YD98	1
VAX1	Q5SQQ9	1
VIM	P08670	1
VPS11	Q9H270	1
VPS13C	Q709C8	1
VPS16	Q9H269	1
VPS33A	Q96AX1	1
VPS35	Q96QK1	1
VPS35L	Q7Z3J2	1
VPS37A	Q8NEZ2	1
VPS51	Q9UID3	1
VPS53	Q5VIR6	1
VWA3B	Q502W6	1
WARS1	P23381	1
WASHC4	Q2M389	1
WBP2	Q969T9	1
WDFY3	Q8IZQ1	1
WDPCP	O95876	1
WDR81	Q562E7	1
WEE2	P0C1S8	1
WIPI2	Q9Y4P8	1
XDH	P47989	1
XPNPEP3	Q9NQH7	1
XRCC1	P18887	1
XRCC3	O43542	1
XYLT2	Q9H1B5	1
YIF1B	Q5BJH7	1
YIPF5	Q969M3	1
YME1L1	Q96TA2	1
ZBTB16	Q05516	1
ZBTB24	O43167	1
ZBTB42	B2RXF5	1
ZCCHC8	Q6NZY4	1
ZFHX2	Q9C0A1	1
ZFYVE19	Q96K21	1
ZFYVE27	Q5T4F4	1
ZIC1	Q15915	1
ZNF141	Q15928	1
ZNF335	Q9H4Z2	1
ZNF407	Q9C0G0	1
ZNF513	Q8N8E2	1
ZNF687	Q8N1G0	1
ZNF711	Q9Y462	1
ZNHIT3	Q15649	1
ZP3	P21754	1
ZSWIM6	Q9HCJ5	1
